date,open,high,low,close,volume
2024-06-05 09:00:00,94569,99965,94471,98690,2404918
2024-06-07 09:00:00,99474,107126,97708,105459,4463068
2024-06-10 09:00:00,105949,105949,100161,101731,2206623
2024-06-11 09:00:00,102516,104282,100554,101143,1428786
2024-06-12 09:00:00,100161,102123,98199,99377,983916
2024-06-13 09:00:00,101535,101535,98788,99083,1333468
2024-06-14 09:00:00,99769,100259,97218,97513,1288798
2024-06-17 09:00:00,96434,98101,95257,95257,1029604
2024-06-18 09:00:00,96630,97317,92314,92314,1390909
2024-06-19 09:00:00,91627,95943,91234,94276,1594942
2024-06-20 09:00:00,94177,95158,92215,92314,838785
2024-06-21 09:00:00,90939,93686,90841,91038,978245
2024-06-24 09:00:00,90449,90940,89272,89567,835701
2024-06-25 09:00:00,89566,91332,88782,88782,749273
2024-06-26 09:00:00,89763,90253,87604,87801,786795
2024-06-27 09:00:00,88978,90743,87800,87899,815368
2024-06-28 09:00:00,87899,90548,87016,88390,1006208
2024-07-01 09:00:00,88782,90450,87408,90450,780126
2024-07-02 09:00:00,91332,91626,87996,88291,724420
2024-07-03 09:00:00,89763,95943,89665,95061,3059516
2024-07-04 09:00:00,97611,101829,95159,95159,2692413
2024-07-05 09:00:00,95158,98788,93196,96434,1300069
2024-07-08 09:00:00,95550,105655,95256,102418,4438868
2024-07-09 09:00:00,103006,103595,99082,99279,1793596
2024-07-10 09:00:00,101045,102026,97219,98004,1336248
2024-07-11 09:00:00,98788,100750,96434,96434,1696419
2024-07-12 09:00:00,95943,99474,95845,99475,1345230
2024-07-15 09:00:00,100358,101437,97709,101045,1654695
2024-07-16 09:00:00,99573,100259,95158,95551,1579549
2024-07-17 09:00:00,95256,96924,92607,92902,1357820
2024-07-18 09:00:00,92215,98788,91627,96336,2324774
2024-07-19 09:00:00,96335,98592,95354,98396,1340007
2024-07-22 09:00:00,98003,98101,93196,93589,1112534
2024-07-23 09:00:00,94766,95354,91136,91627,1001034
2024-07-24 09:00:00,90449,93784,90351,91136,801522
2024-07-25 09:00:00,89763,94472,88978,94178,1308323
2024-07-26 09:00:00,93687,94570,90744,92608,742218
2024-07-29 09:00:00,92510,94177,90548,93295,812112
2024-07-30 09:00:00,92706,96139,92510,94276,1187786
2024-07-31 09:00:00,93392,93392,90449,90548,1047892
2024-08-01 09:00:00,91234,92411,88291,91823,1194838
2024-08-02 09:00:00,89959,92510,89370,89469,835603
2024-08-05 09:00:00,88291,90841,78873,79560,2211418
2024-08-06 09:00:00,82405,90645,82012,89763,2082197
2024-08-07 09:00:00,88880,90743,86918,86918,1073014
2024-08-08 09:00:00,85250,87408,82699,82994,1008647
2024-08-09 09:00:00,86918,90547,85937,88782,1541326
2024-08-12 09:00:00,89173,90253,87996,88291,783934
2024-08-13 09:00:00,88291,90253,86525,88488,868069
2024-08-14 09:00:00,91038,91528,88781,89076,1007800
2024-08-16 09:00:00,90547,91332,87604,87899,1147681
2024-08-19 09:00:00,87212,87506,83484,83877,1119247
2024-08-20 09:00:00,84956,85348,83484,83583,689245
2024-08-21 09:00:00,83287,86525,83287,86329,1015155
2024-08-22 09:00:00,87114,87997,85741,87507,867847
2024-08-23 09:00:00,86427,87604,84857,85152,644435
2024-08-26 09:00:00,86231,87114,84563,85545,550774
2024-08-27 09:00:00,85348,86231,83974,84956,485551
2024-08-28 09:00:00,84955,85348,81914,82307,706395
2024-08-29 09:00:00,81325,85347,81325,83484,866141
2024-08-30 09:00:00,83975,84563,82699,83975,577289
2024-09-02 09:00:00,84171,89763,84073,88390,2026291
2024-09-03 09:00:00,88683,88977,86917,87310,647959
2024-09-04 09:00:00,85348,87114,83484,83877,825345
2024-09-05 09:00:00,84661,85054,81522,82111,886063
2024-09-06 09:00:00,82601,83386,76322,76421,1683243
2024-09-09 09:00:00,75047,76126,73281,73772,1239449
2024-09-10 09:00:00,74263,75734,71222,71222,1019386
2024-09-11 09:00:00,72104,74557,71810,73184,1109598
2024-09-12 09:00:00,74654,77205,73968,75636,1058245
2024-09-13 09:00:00,76715,76911,73576,75342,752497
2024-09-19 09:00:00,77009,77009,74164,75538,607482
2024-09-20 09:00:00,77500,78088,76322,77304,819358
2024-09-23 09:00:00,76813,81718,75930,81228,1070995
2024-09-24 09:00:00,82896,90842,82209,88488,3155175
2024-09-25 09:00:00,89370,89958,86819,87310,1486667
2024-09-26 09:00:00,87605,90254,87310,90254,1276183
2024-09-27 09:00:00,90253,90743,88585,89861,888033
2024-09-30 09:00:00,90842,92313,86918,86918,1328419
2024-10-02 09:00:00,86329,91528,85937,90646,1320670
2024-10-04 09:00:00,90547,92509,87899,87899,1317814
2024-10-07 09:00:00,89958,90645,88781,90057,960026
2024-10-08 09:00:00,89174,91823,88389,90548,981758
2024-10-10 09:00:00,90743,91037,87212,87212,1080609
2024-10-11 09:00:00,87212,89468,85250,85250,985854
2024-10-14 09:00:00,83484,84171,82405,82896,907017
2024-10-15 09:00:00,83288,85152,80443,80738,883116
2024-10-16 09:00:00,81424,81718,79560,80051,520620
2024-10-17 09:00:00,79854,80737,79070,79070,489164
2024-10-18 09:00:00,78873,79658,77990,78579,534711
2024-10-21 09:00:00,78187,79168,77696,78874,501090
2024-10-22 09:00:00,78775,78775,74950,74950,950477
2024-10-23 09:00:00,74949,78775,74458,78481,798432
2024-10-24 09:00:00,79854,80443,76126,76519,589356
2024-10-25 09:00:00,79167,79658,76322,76715,528916
2024-10-28 09:00:00,77304,80836,77304,80836,794454
2024-10-29 09:00:00,80345,80541,78088,80247,517456
2024-10-30 09:00:00,79756,80639,78677,78874,391035
2024-10-31 09:00:00,78284,79462,77303,77500,483702
2024-11-01 09:00:00,75930,78873,75243,78579,512571
2024-11-04 09:00:00,78873,85249,78382,84367,1549809
2024-11-05 09:00:00,83778,86231,82797,85054,748458
2024-11-06 09:00:00,87211,87310,77401,78579,2028753
2024-11-07 09:00:00,78285,79070,75244,77108,1116050
2024-11-08 09:00:00,78089,80835,78089,78089,855802
2024-11-11 09:00:00,78187,79560,74949,75146,876112
2024-11-12 09:00:00,75734,77499,74851,75734,781898
2024-11-13 09:00:00,75244,76519,71908,73086,923010
2024-11-14 09:00:00,73380,74851,67298,67298,1519061
2024-11-15 09:00:00,64648,66610,60724,64060,2639787
2024-11-18 09:00:00,64060,67984,63570,66317,1300705
2024-11-19 09:00:00,66611,67984,64452,67396,742083
2024-11-20 09:00:00,67101,70534,66316,68671,712396
2024-11-21 09:00:00,69161,73968,68279,73086,1316048
2024-11-22 09:00:00,73478,75047,72791,74165,786343
2024-11-25 09:00:00,75439,80639,74557,77402,1716910
2024-11-26 09:00:00,77794,85054,77206,77893,2575054
2024-11-27 09:00:00,78579,81130,76715,76912,1126735
2024-11-28 09:00:00,78775,79953,77500,78874,796478
2024-11-29 09:00:00,78579,78677,74655,74655,815266
2024-12-02 09:00:00,75538,77206,73576,74165,832857
2024-12-03 09:00:00,74851,75342,71810,72399,1009789
2024-12-04 09:00:00,71025,72300,69651,69946,1082206
2024-12-05 09:00:00,70633,71123,68082,68377,724364
2024-12-06 09:00:00,68965,70437,67101,69456,1135186
2024-12-09 09:00:00,68670,71515,67689,68769,1298592
2024-12-10 09:00:00,70829,71222,69652,70241,820139
2024-12-11 09:00:00,70240,72300,69259,69750,813788
2024-12-12 09:00:00,70926,71123,68670,70044,1191902
2024-12-13 09:00:00,69946,71221,69455,70829,764888
2024-12-16 09:00:00,71418,71712,69456,70241,706754
2024-12-17 09:00:00,70436,70436,65237,65826,1359320
2024-12-18 09:00:00,66415,67003,65924,66415,709294
2024-12-19 09:00:00,64746,66708,64648,65139,647623
2024-12-20 09:00:00,65335,65924,61902,62491,872329
2024-12-23 09:00:00,62883,63275,59841,61902,1011161
2024-12-24 09:00:00,62195,63275,60233,60332,879498
2024-12-26 09:00:00,60920,61116,57585,57585,1277301
2024-12-27 09:00:00,57585,58468,55329,55918,1411141
2024-12-30 09:00:00,55917,58271,55623,56408,913844
2025-01-02 09:00:00,56506,56604,54053,54152,935277
2025-01-03 09:00:00,54446,61902,54446,59646,3104482
2025-01-06 09:00:00,60822,63373,59841,62392,1601580
2025-01-07 09:00:00,62588,63569,61116,61215,972863
2025-01-08 09:00:00,60430,64746,60430,63962,1515886
2025-01-09 09:00:00,63766,64550,61804,63668,1008311
2025-01-10 09:00:00,63569,63667,61313,61313,769296
2025-01-13 09:00:00,60822,61803,59351,59351,753598
2025-01-14 09:00:00,60332,63766,59842,62687,1240157
2025-01-15 09:00:00,63177,65041,61313,61608,1039045
2025-01-16 09:00:00,63765,64256,62000,62000,904720
2025-01-17 09:00:00,61999,62686,60920,61117,548256
2025-01-20 09:00:00,61509,63962,61509,63472,1146308
2025-01-21 09:00:00,62490,62883,58861,59744,1365266
2025-01-22 09:00:00,60528,61706,60136,61706,741903
2025-01-23 09:00:00,61117,61215,59743,59940,491411
2025-01-24 09:00:00,60430,60528,59351,59842,458216
2025-01-31 09:00:00,59842,60823,59057,59842,464739
2025-02-03 09:00:00,58566,58958,55819,56114,865953
2025-02-04 09:00:00,57487,61018,57291,58174,1048442
2025-02-05 09:00:00,58272,59841,58272,59155,451829
2025-02-06 09:00:00,60038,60136,58174,58567,529637
2025-02-07 09:00:00,58763,61411,57683,58763,815959
2025-02-10 09:00:00,57781,59449,56898,58959,723792
2025-02-11 09:00:00,59252,60037,58075,58468,740270
2025-02-12 09:00:00,57977,59841,57879,58468,662519
2025-02-13 09:00:00,58959,61215,58861,60725,1240238
2025-02-14 09:00:00,60725,60725,59351,59548,609771
2025-02-17 09:00:00,59743,62392,59154,61117,1232488
2025-02-18 09:00:00,61902,62000,60038,60627,544070
2025-02-19 09:00:00,60921,63668,60823,62589,1580814
2025-02-20 09:00:00,62980,63569,61901,62098,1067780
2025-02-21 09:00:00,63079,67493,62490,65924,2709527
2025-02-24 09:00:00,65237,67298,64747,67298,1479965
2025-02-25 09:00:00,66904,67199,63961,64158,996683
2025-02-26 09:00:00,63275,67200,63177,67200,1127369
2025-02-27 09:00:00,66900,68100,65700,65900,623392
2025-02-28 09:00:00,65000,65200,61100,62200,1276060
2025-03-04 09:00:00,61900,62100,57800,58100,1255916
2025-03-05 09:00:00,58800,60400,58200,58900,728668
2025-03-06 09:00:00,59700,60700,58500,58700,713885
2025-03-07 09:00:00,58000,60000,57600,59500,628569
2025-03-10 09:00:00,59400,60900,58600,60000,675281
2025-03-11 09:00:00,58000,58900,57400,58300,560531
2025-03-12 09:00:00,58700,59300,58300,59000,371180
2025-03-13 09:00:00,59900,60200,57400,57400,786331
2025-03-14 09:00:00,57700,59800,56600,59800,839738
2025-03-17 09:00:00,59600,60200,58200,59900,736327
2025-03-18 09:00:00,60300,61300,59300,60200,723594
2025-03-19 09:00:00,60000,60700,59700,60200,485981
2025-03-20 09:00:00,61300,62100,60200,60400,647273
2025-03-21 09:00:00,60700,63000,58800,61100,1114255
2025-03-24 09:00:00,61600,61700,59800,59900,334204
2025-03-25 09:00:00,60600,61100,58500,58700,351477
2025-03-26 09:00:00,59200,60200,58500,59800,337180
2025-03-27 09:00:00,59100,59600,57900,58200,217694
2025-03-28 09:00:00,58100,58500,56500,56800,330740
2025-03-31 09:00:00,54500,55500,49500,49650,2218093
2025-04-01 09:00:00,50100,50500,48300,48500,1263977
2025-04-02 09:00:00,49050,49450,46500,47200,936573
2025-04-03 09:00:00,45300,48700,45150,47850,1006606
2025-04-04 09:00:00,47000,53900,47000,52100,2781441
2025-04-07 09:00:00,50400,52500,49550,49650,1021352
2025-04-08 09:00:00,51500,51500,49250,49650,584098
2025-04-09 09:00:00,48700,50400,47650,47800,682920
2025-04-10 09:00:00,51600,52400,50500,52400,1014895
2025-04-11 09:00:00,50800,51800,49850,50900,502159
2025-04-14 09:00:00,51400,53000,50800,51200,516320
2025-04-15 09:00:00,51000,51300,49700,49800,577462
